Timestamp,Full Name,Student ID,Student Email,Ranking, 
FALSE,John Smith,113234567,JohnSmith@email.com,Expert,
TRUE,Jessica Williams,113456789,JessicaWilliams@email.com,Intermediate,
TRUE,Michael Brown,113678901,MichaelBrown@email.com,Intermediate,
FALSE,Emily Davis,113891012,EmilyDavis@email.com,Intermediate,
FALSE,Jacob Garcia,113101112,JacobGarcia@email.com,Advance,
TRUE,Nicholas Rodriguez,113123456,NicholasRodriguez@email.com,Advance,
TRUE,Isabella Martinez,113345678,IsabellaMartinez@email.com,Intermediate,
TRUE,Ethan Miller,113567890,EthanMiller@email.com,Novice,
TRUE,Sophia Davis,113789123,SophiaDavis@email.com,Intermediate,
TRUE,Mason Moore,113901234,MasonMoore@email.com,Intermediate,
TRUE,Ava Wilson,113123401,AvaWilson@email.com,Expert,
TRUE,Jacob Anderson,113234012,JacobAnderson@email.com,Expert,
TRUE,Sofia Martinez,113340123,SofiaMartinez@email.com,Novice,
TRUE,Ethan Taylor,113450123,EthanTaylor@email.com,Intermediate,
TRUE,Isabella Anderson,113560123,IsabellaAnderson@email.com,Expert,
FALSE,Nicholas Hernandez,113670123,NicholasHernandez@email.com,Expert,
FALSE,Emily Martinez,113780123,EmilyMartinez@email.com,Novice,
TRUE,Jacob Lee,113890123,JacobLee@email.com,Advance,
TRUE,Sophia Perez,113010123,SophiaPerez@email.com,Novice,
TRUE,Mason Garcia,113111111,MasonGarcia@email.com,Intermediate,
TRUE,Ava Thompson,113222222,AvaThompson@email.com,Advance,
FALSE,Jacob Martinez,113333333,JacobMartinez@email.com,Intermediate,
FALSE,Sofia Robinson,113444444,SofiaRobinson@email.com,Expert,
TRUE,Ethan Clark,113555555,EthanClark@email.com,Advance,
TRUE,Isabella Rodriguez,113666666,IsabellaRodriguez@email.com,Advance,
TRUE,Nicholas Lewis,113777777,NicholasLewis@email.com,Expert,
TRUE,Emily Lee,113888888,EmilyLee@email.com,Expert,
FALSE,Jacob Walker,113999999,JacobWalker@email.com,Expert,
FALSE,Sophia Hall,113001111,SophiaHall@email.com,Intermediate,
TRUE,Mason Allen,113012222,MasonAllen@email.com,Advance,
TRUE,Ava Young,113023333,AvaYoung@email.com,Advance,
TRUE,Jacob Hernandez,113034444,JacobHernandez@email.com,Beginner,
TRUE,Sofia King,113045555,SofiaKing@email.com,Novice,
FALSE,Ethan Wright,113056666,EthanWright@email.com,Advance,
TRUE,Isabella Scott,113067777,IsabellaScott@email.com,Beginner,
TRUE,Nicholas Green,113078888,NicholasGreen@email.com,Advance,
FALSE,Emily Baker,113089999,EmilyBaker@email.com,Advance,
TRUE,Jacob Perez,113101234,JacobPerez@email.com,Advance,
FALSE,Sophia Turner,113111234,SophiaTurner@email.com,Beginner,
FALSE,Mason Phillips,113121234,MasonPhillips@email.com,Novice,
TRUE,Ava Campbell,113131234,AvaCampbell@email.com,Advance,
TRUE,Hadley Clay,113141234,HadleyClay@email.com,Advance,
FALSE,Kaitlyn Schmitt,113151234,KaitlynSchmitt@email.com,Expert,
TRUE,Holly Farmer,113161234,HollyFarmer@email.com,Advance,
TRUE,Patricia Hull,113171234,PatriciaHull@email.com,Intermediate,
TRUE,Jayda Obrien,113181234,JaydaObrien@email.com,Novice,
TRUE,Skyler Kirk,113191234,SkylerKirk@email.com,Intermediate,
